,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,tip_amount,tolls_amount,congestion_surcharge,airport_fee,PUZone,DOZone,PULat,PULong,DOLat,DOLong,duration,speed_minutes,hour_pickup,minute_pickup,day_pickup,peak_hour
2187874,1.0,6.7137,233,260,15.0,0.5,0.0,0.0,2.5,0.0,JFK Airport,Greenwich Village North,40.63983,-73.77874,40.73211001,-73.99648007,16.183333333333334,0.41485272914521115,3,8,20,0
1043735,1.0,2.0769,238,142,7.5,0.0,3.24,0.0,2.5,0.0,Lincoln Square East,Penn Station/Madison Sq West,40.7742,-73.9849,40.7498,-73.9917,8.9,0.23335955056179777,15,8,10,0
2274093,1.0,9.1287,100,260,18.0,1.0,10.0,6.55,2.5,0.0,SoHo,Lenox Hill West,40.7252,-74.00415,40.7708,-73.9567,15.783333333333333,0.5783759239704329,19,53,20,0
806275,1.0,8.227100000000002,239,79,19.0,0.0,3.0,0.0,2.5,0.0,Manhattan Valley,East Village,40.797045,-73.969725,40.7265,-73.9815,22.783333333333335,0.36110168251645947,10,32,8,0
3159875,1.0,18.4506,132,17,36.5,0.5,7.81,0.0,0.0,1.25,Lenox Hill East,Meatpacking/West Village West,40.7662,-73.9602,40.741,-74.0076,37.983333333333334,0.4857551557700746,20,59,28,0
3069863,1.0,0.6762,90,90,5.0,0.5,5.0,0.0,2.5,0.0,Gramercy,Lincoln Square West,40.7368,-73.9845,40.77677997,-73.98296006,4.666666666666667,0.1449,21,23,27,0
222550,1.0,1.932,229,140,10.5,2.5,0.0,0.0,2.5,0.0,Midtown North,East Chelsea,40.754932,-73.984016,40.742352,-74.00621,14.85,0.1301010101010101,12,45,3,0
2272548,4.0,2.0447,140,229,7.5,1.0,2.36,0.0,2.5,0.0,SoHo,Lenox Hill West,40.7252,-74.00415,40.7708,-73.9567,7.833333333333333,0.26102553191489364,19,35,20,0
1878811,1.0,5.9892,239,74,21.5,1.0,0.0,0.0,2.5,0.0,Midtown Center,Lenox Hill East,40.7588,-73.97291,40.7662,-73.9602,33.55,0.1785156482861401,15,57,17,0
3137378,3.0,16.9372,138,143,31.5,0.0,4.26,6.55,2.5,1.25,Greenwich Village North,Meatpacking/West Village West,40.73211001,-73.99648007,40.741,-74.0076,27.6,0.6136666666666667,16,35,28,0
2226970,1.0,1.932,151,239,7.5,2.5,2.7,0.0,2.5,0.0,JFK Airport,Lenox Hill West,40.63983,-73.77874,40.7708,-73.9567,8.0,0.2415,13,55,20,0
2614868,2.0,5.9087000000000005,161,226,15.0,0.5,3.76,0.0,2.5,0.0,Yorkville West,Midtown East,40.7712,-73.9495,40.7509,-73.96442,17.816666666666666,0.3316389148737138,21,58,23,0
1260543,1.0,1.8193,236,237,11.0,0.0,2.86,0.0,2.5,0.0,Union Sq,Midtown Center,40.7359,-73.9911,40.7588,-73.97291,15.85,0.11478233438485805,11,32,12,1
3111916,2.0,3.864,264,144,11.0,2.5,1.0,0.0,2.5,0.0,Greenwich Village North,Lincoln Square West,40.73211001,-73.99648007,40.77677997,-73.98296006,13.933333333333334,0.2773205741626794,11,12,28,0
1634287,2.0,2.3184,48,50,6.5,0.0,0.0,0.0,2.5,0.0,Clinton West,Gramercy,40.7629,-73.994,40.7368,-73.9845,5.733333333333333,0.40437209302325583,11,11,15,0
317289,1.0,1.6583,162,234,6.0,0.0,1.86,0.0,2.5,0.0,East Village,Washington Heights South,40.7265,-73.9815,40.84231,-73.93924,5.816666666666666,0.2850945558739255,8,7,4,0
